"scalePar","feat","brandhiland","brandweight","brandyoplait","sd_feat","sd_brandhiland","sd_brandweight","sd_brandyoplait","logLike"
0.388097629322356,1.73883240303695,-13.5367140042731,-4.51006842332539,6.66386865091183,0.491225474880452,5.73057082352179,11.4204996889471,8.87246979609656,-1009.4528842744
0.388097629322356,1.73883240303695,-13.5367140042731,-4.51006842332539,6.66386865091183,0.491225474880452,5.73057082352179,11.4204996889471,8.87246979609656,-1009.4528842744
0.23571400300063,1.7410608703635,-13.5337223759785,-4.50926003648629,6.65470310617177,0.491381888909224,5.73545327834022,11.42179491266,8.88282886980809,-961.952927452596
0.385746790895628,2.74920754308145,-12.8153577646112,-3.89089901519097,2.31628809381438,0.80117967262285,6.90417492291463,13.2227432745229,14.1883942461938,-956.565779266718
0.243233639017109,7.53133516586865,-11.8127329305089,-7.98053170217783,6.98125280398343,0.686665059949718,7.3953353954073,17.9960188169369,16.8277941796329,-866.408661850081
0.184834407290599,7.4664836315518,-12.5758456846698,-8.04236812471046,6.93179059449847,0.496986667014968,6.71517472045293,19.5336725891996,16.8328331007466,-858.833768963274
0.159061281944763,8.70772887410077,-15.3679055167075,-9.10139956665481,6.449834113869,-1.34513981584713,7.3634442774982,21.1443618202545,16.8326547960469,-846.943831436274
0.155161000318105,13.2329608911645,-25.9145249924711,-14.7373858459179,2.61133355977144,-10.5410427597405,12.8866264523971,27.4547769833445,16.1096968670733,-832.008970064873
0.10116498672685,15.799340640031,-33.2853740571962,-20.2225436340239,1.28923188553034,-13.5835132559888,12.9998283132937,28.5052999100582,18.6177103072562,-825.456378753129
0.112769738351412,15.6044635031578,-33.3088671830624,-20.4797017504309,1.27339807605627,-13.2034289156237,12.8781122702078,28.0051979967614,18.99347197249,-818.296337609958
0.122015425199525,15.6793069915343,-33.2868630867868,-20.4405478030683,1.85561641826138,-12.1571279823087,13.8150664549215,28.9052406229274,19.7139373273957,-812.859044195756
0.124181384743914,16.3741857985737,-35.2282912849953,-21.7982148095335,2.1087232707928,-11.7727654340006,15.4633288333279,30.7161758046108,20.9384022096565,-810.023250786663
0.119053164902434,17.70936738629,-38.8119476546627,-24.1330240548044,2.04451216962168,-12.0451136193009,17.5077437747055,33.4152398376182,22.4306591456599,-807.30746881107
0.086877482580293,25.867042076144,-58.9980197914905,-36.9330673080024,1.14080804330807,-13.5714689737481,28.8564075387635,49.1162369288538,29.9544999333071,-797.934611468536
0.081376945685351,26.9297688656412,-61.736201305321,-38.6204564435804,0.986162476316068,-14.0467922466686,30.0117474248857,50.9564850896356,30.9916654069674,-796.578026136968
0.0591661236413369,32.0890950177204,-75.0855563692559,-46.5740547982738,0.322608795406825,-16.1306033242045,35.0302662370714,59.7285006996985,36.1762686110847,-795.453148983751
0.0721171476123755,29.4945410095975,-68.7980864432483,-42.4271372525829,0.64134376772712,-15.2539541327456,31.1956465377525,54.7547724507209,33.8421924050526,-792.082701117654
0.0693009149906726,30.5699488159517,-71.9051608042342,-43.9921057648652,0.654682522437577,-15.5386953901213,31.7953386210857,56.6840921719897,35.2135765809598,-790.80952462115
0.0561970933911288,35.1662820584466,-85.1263701908192,-50.8839292702466,0.889695006551707,-16.5249657668719,35.6495742910749,65.8732839117317,41.1033242834995,-788.10741470451
0.0539858702307974,36.6853989556017,-90.1579697036199,-53.2052281446999,1.28571028079443,-16.621412713604,36.8284449636338,69.6182478423728,43.5968165160548,-786.806673889008
0.0470464400440239,40.3989619063047,-102.314416120878,-59.121141553831,2.15066372524562,-17.0135878004899,40.4801061890039,79.0282666929191,49.5149800734527,-785.225312347118
0.0477965876941715,40.3989614181132,-102.314415933522,-59.1211411119672,2.15066326367464,-17.0135881229139,40.4801066308454,79.0282677263877,49.5149806174577,-785.061026717224
0.0485124615610998,40.1869241655674,-102.169350493139,-58.9804254486991,2.01856779970753,-17.1437731809382,40.7512600874162,79.3326835433264,49.6629502962548,-784.731891180421
0.0490834411118753,39.566831859106,-101.787678997183,-58.6994346996423,1.79797982263453,-17.4960855396692,41.4726663753896,80.041055840903,50.2168750970868,-784.303967774875
0.0489884468562628,38.979746991132,-101.502581707693,-58.5728248822918,1.78536983608919,-17.7885946110703,42.0268243531705,80.5258103416121,50.875245900983,-784.06482706974
0.0485224897056287,38.1596043205252,-101.23301878483,-58.5312114248585,1.98973166858756,-18.1367832365119,42.5872219573301,81.0412595784224,51.9260514455792,-783.818793515723
0.0480854413155351,37.5383425578063,-101.18155914572,-58.5861745544197,2.32957970188901,-18.3299945601622,42.7665899221495,81.3593190710511,52.8057486637698,-783.667040800472
0.0477601816715731,36.9904734240286,-101.294346050267,-58.662055614419,2.7607161608633,-18.4185895868151,42.6856580626672,81.6802763681947,53.6093588422577,-783.546525796769
0.047531460112735,36.5008722079536,-101.528290616108,-58.7018192617918,3.20932647913686,-18.4098752668956,42.4358467366213,82.1198171251066,54.3083033414609,-783.443944196004
0.0472823771092242,36.0401512394209,-101.851343281696,-58.6853486630725,3.64879545561683,-18.301905968272,42.1018571686716,82.7703494271639,54.9347363225772,-783.349699880322
0.0469719508723904,35.7123561338553,-102.163476517103,-58.6341412652572,3.97093381721629,-18.104483803578,41.8360554447268,83.5123541195206,55.3788142931022,-783.27784293873
0.0466383665703368,35.5579986986054,-102.399017475605,-58.6106710377224,4.15711984821358,-17.8478374810086,41.7284418331413,84.1872124425881,55.6434748510252,-783.227082667824
0.0463118588351322,35.5224642148275,-102.590300167791,-58.6678131293847,4.28777297267124,-17.517381592878,41.7668083851006,84.8204231676874,55.8546738444009,-783.181222622976
